config,prompt,gen_tok_s,prefill_tok_s,draft_n,draft_accepted
original-ext4,code,8.86135106322728,9.288022338747004,,
original-ext4,prose,9.608112100125398,3.770887538014712,,
plain-ext4,code,8.912347007566224,7.522242378902172,,
plain-ext4,prose,9.528783187453186,4.3647032336766705,,
mtp-n3-ext4,code,6.989544179564617,7.069939927376412,231,222
mtp-n3-ext4,prose,5.702000124337929,3.6016474102773097,369,175
plain-btrfs-luks,code,4.33952879683734,5.935864998113374,,
plain-btrfs-luks,prose,6.104351624863052,2.881851333466122,,
mtp-n3-btrfs-luks,code,2.955335247448293,5.317630571266474,231,222
mtp-n3-btrfs-luks,prose,2.2917481026069435,2.4768734898271925,369,175
mtp-n2-btrfs-luks,code,2.5152792488679623,5.620830915265394,206,195
mtp-n2-btrfs-luks,prose,2.2396553801068952,2.3636328156885855,279,158
